scenario,layout,median_ms,min_ms,p95_ms,repetitions,result
common_count,clinical,606.298,574.631,650.307,10,209328
common_count,separated,1479.483,1435.731,1663.346,10,209328
common_page,clinical,0.845,0.79,0.926,10,50 rows; cursor=0
common_page,separated,1.324,1.28,1.408,10,50 rows; cursor=0
late_page,clinical,81.921,80.726,85.378,10,50 rows; cursor=4500000
late_page,separated,82.139,80.89,82.722,10,50 rows; cursor=4500000
high_confidence,clinical,302.568,290.278,312.525,10,31815
high_confidence,separated,636.425,612.296,700.411,10,31815
rare_code,clinical,39.844,32.715,46.481,10,1636
rare_code,separated,128.519,124.467,136.412,10,1636
no_match,clinical,0.174,0.165,0.213,10,0
no_match,separated,28.892,27.923,35.579,10,0
