scenario,layout,median_ms,min_ms,p95_ms,repetitions,result
common_count,clinical,13.309,12.559,14.536,10,1536
common_count,separated,19.582,18.922,21.302,10,1536
common_page,clinical,1.322,1.283,1.424,10,50-row maximum page
common_page,separated,1.527,1.485,2.736,10,50-row maximum page
high_confidence,clinical,4.516,4.334,4.707,10,217
high_confidence,separated,9.549,9.261,10.29,10,217
rare_code,clinical,0.672,0.634,0.808,10,16
rare_code,separated,1.34,1.286,1.428,10,16
no_match,clinical,0.086,0.082,0.372,10,0
no_match,separated,0.088,0.087,0.135,10,0
